"case","event","startTime","completeTime","enddate_planned","enddate","responsible","channel","startdate","department","deadline","group","addedCost","cost","org:resource","org:group"
"case_100175","Confirmation of receipt","2011/10/11 12:45:40.276","2011/10/11 12:45:40.276","2011/12/06 12:41:31.788",,"Resource21","Internet","2011/10/11 12:42:22.688","General","2011/12/06 12:41:31.788","Group 2",,"<1000","Resource21","Group 1"
"case_100175","T02 Check confirmation of receipt","2011/10/12 07:26:25.398","2011/10/12 07:26:25.398","2011/12/06 12:41:31.788",,"Resource21","Internet","2011/10/11 12:42:22.688","General","2011/12/06 12:41:31.788","Group 2",,"<1000","Resource10","Group 4"
"case_100175","T03 Adjust confirmation of receipt","2011/11/24 14:36:51.302","2011/11/24 14:36:51.302","2011/12/06 12:41:31.788",,"Resource21","Internet","2011/10/11 12:42:22.688","General","2011/12/06 12:41:31.788","Group 2",,"<1000","Resource21","Group 1"
"case_100175","T02 Check confirmation of receipt","2011/11/24 14:37:16.553","2011/11/24 14:37:16.553","2011/12/06 12:41:31.788",,"Resource21","Internet","2011/10/11 12:42:22.688","General","2011/12/06 12:41:31.788","Group 2",,"<1000","Resource21","Group 4"
"case_100176","Confirmation of receipt","2011/10/18 12:46:39.679","2011/10/18 12:46:39.679","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","Resource30","EMPTY"
"case_100176","T06 Determine necessity of stop advice","2011/10/18 12:47:06.950","2011/10/18 12:47:06.950","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","Resource30","Group 1"
"case_100176","T02 Check confirmation of receipt","2011/10/18 12:47:26.235","2011/10/18 12:47:26.235","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","Resource30","Group 4"
"case_100176","T03 Adjust confirmation of receipt","2011/10/18 12:47:41.811","2011/10/18 12:47:41.811","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","Resource30","Group 1"
"case_100176","T02 Check confirmation of receipt","2011/10/18 12:47:57.979","2011/10/18 12:47:57.979","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","Resource30","Group 4"
"case_100176","T10 Determine necessity to stop indication","2011/10/18 12:48:15.357","2011/10/18 12:48:15.357","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","Resource30","Group 1"
"case_100176","T03 Adjust confirmation of receipt","2011/10/18 12:48:30.632","2011/10/18 12:48:30.632","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","Resource30","Group 1"
"case_100176","T02 Check confirmation of receipt","2011/10/18 12:51:01.525","2011/10/18 12:51:01.525","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","Resource30","Group 4"
"case_100176","T03 Adjust confirmation of receipt","2011/10/18 12:56:57.603","2011/10/18 12:56:57.603","2011/12/06 00:06:40.010","2011/10/18 12:56:55.943","Resource04","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 5",,"<1000","admin2","Group 1"
"case_100177","Confirmation of receipt","2011/10/18 14:53:19.732","2011/10/18 14:53:19.732","2011/12/01 00:06:40.010","2011/11/17 06:53:06.189","Resource11","Internet","2011/10/06 00:06:40.020","General","2011/12/01 00:06:40.000","Group 8",,"<1000","Resource03","EMPTY"
"case_100177","T02 Check confirmation of receipt","2011/10/18 14:53:38.108","2011/10/18 14:53:38.108","2011/12/01 00:06:40.010","2011/11/17 06:53:06.189","Resource11","Internet","2011/10/06 00:06:40.020","General","2011/12/01 00:06:40.000","Group 8",,"<1000","Resource03","Group 4"
"case_100177","T04 Determine confirmation of receipt","2011/10/18 14:53:53.778","2011/10/18 14:53:53.778","2011/12/01 00:06:40.010","2011/11/17 06:53:06.189","Resource11","Internet","2011/10/06 00:06:40.020","General","2011/12/01 00:06:40.000","Group 8",,"<1000","Resource03","Group 3"
"case_100177","T05 Print and send confirmation of receipt","2011/10/18 14:54:06.717","2011/10/18 14:54:06.717","2011/12/01 00:06:40.010","2011/11/17 06:53:06.189","Resource11","Internet","2011/10/06 00:06:40.020","General","2011/12/01 00:06:40.000","Group 8",,"<1000","Resource03","Group 2"
"case_100177","T06 Determine necessity of stop advice","2011/10/18 14:54:24.121","2011/10/18 14:54:24.121","2011/12/01 00:06:40.010","2011/11/17 06:53:06.189","Resource11","Internet","2011/10/06 00:06:40.020","General","2011/12/01 00:06:40.000","Group 8",,"<1000","Resource03","Group 1"
"case_100177","T10 Determine necessity to stop indication","2011/10/18 14:57:18.847","2011/10/18 14:57:18.847","2011/12/01 00:06:40.010","2011/11/17 06:53:06.189","Resource11","Internet","2011/10/06 00:06:40.020","General","2011/12/01 00:06:40.000","Group 8",,"<1000","Resource03","Group 1"
"case_100178","Confirmation of receipt","2011/10/25 08:27:08.484","2011/10/25 08:27:08.484","2011/12/05 00:06:40.010","2011/11/14 08:15:07.941","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,"<1000","Resource03","EMPTY"
